tip.name	current.accepted.name	duplicated
Lycium_truncatum	Lycium_truncatum	no
Lycium_villosum	Lycium_villosum	no
Lycium_vimineum	Lycium_vimineum	no
Lycium_yunnanense	Lycium_yunnanense	no
Mandragora_autumnalis	Mandragora_officinarum	yes
Mandragora_caulescens	Mandragora_caulescens	no
Mandragora_chinghaiensis	Mandragora_caulescens	yes
Mandragora_officinarum	Mandragora_officinarum	no
Mandragora_turcomanica	Mandragora_turcomanica	no
Markea_panamensis	Markea_panamensis	no
Markea_ulei	Markea_ulei	no
Melananthus_guatemalensis	Melananthus_guatemalensis	no
Mellissia_begoniifolia	Mellissia_begoniifolia	no
Merinthopodium_neuranthum	Merinthopodium_neuranthum	no
Metternichia_princeps	Metternichia_princeps	no
Metternichia_sp	Metternichia_sp	no
Nectouxia_formosa	Nectouxia_formosa	no
Nicandra_physalodes	Nicandra_physalodes	no
Nicotiana_acaulis	Nicotiana_acaulis	no
Nicotiana_acuminata	Nicotiana_acuminata	no
Nicotiana_africana	Nicotiana_africana	no
Nicotiana_alata	Nicotiana_alata	no
Nicotiana_amplexicaulis	Nicotiana_amplexicaulis	no
Nicotiana_arentsii	Nicotiana_arentsii	no
Nicotiana_benavidesii	Nicotiana_benavidesii	no
Nicotiana_bonariensis	Nicotiana_bonariensis	no
Nicotiana_cavicola	Nicotiana_cavicola	no
Nicotiana_clevelandii	Nicotiana_clevelandii	no
Nicotiana_cordifolia	Nicotiana_cordifolia	no
Nicotiana_corymbosa	Nicotiana_corymbosa	no
Nicotiana_digluta	Nicotiana_digluta	no
Nicotiana_eastii	Nicotiana_eastii	no
Nicotiana_excelsior	Nicotiana_excelsior	no
Nicotiana_exigua	Nicotiana_rotundifolia	yes
Nicotiana_forgetiana	Nicotiana_forgetiana	no
Nicotiana_forsteri	Nicotiana_forsteri	no
Nicotiana_glauca	Nicotiana_glauca	no
Nicotiana_glutinosa	Nicotiana_glutinosa	no
Nicotiana_goodspeedii	Nicotiana_goodspeedii	no
Nicotiana_gossei	Nicotiana_gossei	no
Nicotiana_kawakamii	Nicotiana_kawakamii	no
Nicotiana_knightiana	Nicotiana_knightiana	no
Nicotiana_langsdorffii	Nicotiana_langsdorffii	no
Nicotiana_linearis	Nicotiana_linearis	no
Nicotiana_longiflora	Nicotiana_longiflora	no
Nicotiana_maritima	Nicotiana_maritima	no
Nicotiana_megalosiphon	Nicotiana_megalosiphon	no
Nicotiana_miersii	Nicotiana_miersii	no
Nicotiana_nesophila	Nicotiana_nesophila	no
Nicotiana_noctiflora	Nicotiana_noctiflora	no
Nicotiana_nudicaulis	Nicotiana_nudicaulis	no
Nicotiana_obtusifolia	Nicotiana_obtusifolia	no
Nicotiana_occidentalis	Nicotiana_occidentalis	no
Nicotiana_otophora	Nicotiana_otophora	no
Nicotiana_palmeri	Nicotiana_obtusifolia	yes
Nicotiana_paniculata	Nicotiana_paniculata	no
Nicotiana_pauciflora	Nicotiana_pauciflora	no
Nicotiana_petunioides	Nicotiana_petunioides	no
Nicotiana_picilla	Nicotiana_plumbaginifolia	yes
Nicotiana_plumbaginifolia	Nicotiana_plumbaginifolia	no
Nicotiana_quadrivalvis	Nicotiana_quadrivalvis	no
Nicotiana_raimondii	Nicotiana_raimondii	no
Nicotiana_repanda	Nicotiana_repanda	no
Nicotiana_rosulata	Nicotiana_rosulata	no
Nicotiana_rotundifolia	Nicotiana_rotundifolia	no
Nicotiana_rustica	Nicotiana_rustica	no
Nicotiana_simulans	Nicotiana_simulans	no
Nicotiana_solanifolia	Nicotiana_solanifolia	no
Nicotiana_spegazzinii	Nicotiana_spegazzinii	no
Nicotiana_stocktonii	Nicotiana_stocktonii	no
Nicotiana_suaveolens	Nicotiana_suaveolens	no
Nicotiana_sylvestris	Nicotiana_sylvestris	no
Nicotiana_tabacum	Nicotiana_tabacum	no
Nicotiana_thyrsiflora	Nicotiana_thyrsiflora	no
Nicotiana_tomentosa	Nicotiana_tomentosa	no
Nicotiana_tomentosiformis	Nicotiana_tomentosiformis	no
Nicotiana_trigonophylla	Nicotiana_obtusifolia	yes
Nicotiana_umbratica	Nicotiana_umbratica	no
Nicotiana_undulata	Nicotiana_undulata	no
Nicotiana_velutina	Nicotiana_velutina	no
Nicotiana_wigandioides	Nicotiana_wigandioides	no
Nierembergia_andina	Nierembergia_pulchella	yes
Nierembergia_angustifolia	Nierembergia_angustifolia	no
Nierembergia_aristata	Nierembergia_aristata	no
Nierembergia_boliviana	Nierembergia_pulchella	yes
Nierembergia_browallioides	Nierembergia_browallioides	no
Nierembergia_calycina	Nierembergia_calycina	no
Nierembergia_ericoides	Nierembergia_ericoides	no
Nierembergia_graveolens	Nierembergia_graveolens	no
Nierembergia_hatschbachii	Nierembergia_hatschbachii	no
Nierembergia_hippomanica	Nierembergia_linariifolia	yes
Nierembergia_linariifolia	Nierembergia_linariifolia	no
Nierembergia_micrantha	Nierembergia_micrantha	no
Nierembergia_pinifolia	Nierembergia_pinifolia	no
Nierembergia_pulchella	Nierembergia_pulchella	no
Nierembergia_repens	Nierembergia_repens	no
Nierembergia_rigida	Nierembergia_rigida	no
Nierembergia_rivularis	Nierembergia_rivularis	no
Nierembergia_scoparia	Nierembergia_scoparia	no
Nierembergia_spathulata	Nierembergia_spathulata	no
Nierembergia_tucumanensis	Nierembergia_tucumanensis	no
Nierembergia_veitchii	Nierembergia_veitchii	no
Nolana_acuminata	Nolana_acuminata	no
Nolana_adansonii	Nolana_adansonii	no
Nolana_albescens	Nolana_albescens	no
Nolana_aplocaryoides	Nolana_aplocaryoides	no
Nolana_arequipensis	Nolana_arequipensis	no
Nolana_aticoana	Nolana_aticoana	no
Nolana_baccata	Nolana_baccata	no
Nolana_balsamiflua	Nolana_balsamiflua	no
Nolana_carnosa	Nolana_carnosa	no
Nolana_cerrateana	Nolana_cerrateana	no
Nolana_chancoana	Nolana_chancoana	no
Nolana_chapiensis	Nolana_chapiensis	no
Nolana_clivicola	Nolana_clivicola	no
Nolana_coelestis	Nolana_coelestis	no
Nolana_confinis	Nolana_confinis	no
Nolana_coronata	Nolana_coronata	no
Nolana_crassulifolia	Nolana_crassulifolia	no
Nolana_diffusa	Nolana_diffusa	no
Nolana_divaricata	Nolana_divaricata	no
Nolana_elegans	Nolana_elegans	no
Nolana_filifolia	Nolana_filifolia	no
Nolana_flaccida	Nolana_flaccida	no
Nolana_galapagensis	Nolana_galapagensis	no
Nolana_gayana	Nolana_gayana	no
Nolana_humifusa	Nolana_humifusa	no
Nolana_incana	Nolana_incana	no
Nolana_inflata	Nolana_inflata	no
Nolana_intonsa	Nolana_intonsa	no
Nolana_johnstonii	Nolana_johnstonii	no
Nolana_laxa	Nolana_laxa	no
Nolana_leptophylla	Nolana_leptophylla	no
Nolana_lezamae	Nolana_lezamae	no
Nolana_linearifolia	Nolana_linearifolia	no
Nolana_lycioides	Nolana_lycioides	no
Nolana_mollis	Nolana_mollis	no
Nolana_onoana	Nolana_onoana	no
Nolana_pallida	Nolana_pallida	no
Nolana_paradoxa	Nolana_paradoxa	no
Nolana_parviflora	Nolana_parviflora	no
Nolana_peruviana	Nolana_peruviana	no
Nolana_pilosa	Nolana_pilosa	no
Nolana_plicata	Nolana_plicata	no
Nolana_pterocarpa	Nolana_pterocarpa	no
Nolana_ramosissima	Nolana_ramosissima	no
Nolana_rostrata	Nolana_rostrata	no
Nolana_rupicola	Nolana_rupicola	no
Nolana_salsoloides	Nolana_salsoloides	no
Nolana_scaposa	Nolana_scaposa	no
Nolana_sedifolia	Nolana_sedifolia	no
