FULLNAME,CLADE1,CLADE2,,,
Solanum erosomarginatum S.Knapp,Geminata,Geminata,,,
Solanum erythracanthum Dunal,Leptostemonum,EHS-Madagascar,,,
Solanum erythrotrichum Fernald,Leptostemonum,Erythrotrichum,,,
Solanum esuriale Lindl.,Leptostemonum,EHS-Australia,,,
Solanum etuberosum Lindl.,Potato,Etuberosum,,,
Solanum euacanthum Phil.,Leptostemonum,Sisymbriifolium,,,
Solanum evolvulifolium Greenm.,Potato,Herpystichum,,,
Solanum evolvuloides Giacomin & Stehmann,Brevantherum,Gonatotrichum,,,
Solanum evonymoides Sendtn.,Geminata,Geminata,,,
Solanum exemptum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum exiguum Bohs,Cyphomandra,Pachyphylla,,,
Solanum expedunculatum Symon,Leptostemonum,EHS-New Guinea,,,
Solanum falciforme Farruggia,Leptostemonum,Androceras-Crinitum,,,
Solanum falconense S.Knapp,Geminata,Geminata,,,
Solanum fallax Bohs,Cyphomandra,Pachyphylla,,,
Solanum fecundum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum felinum Bitter ex Whalen,Leptostemonum,Lasiocarpa,,,
Solanum fernandesii V.S.Samp. & R.Moura,Leptostemonum,Gardneri,,,
Solanum fernandezianum Phil.,Potato,Etuberosum,,,
Solanum ferocissimum Lindl.,Leptostemonum,EHS-Australia,,,
Solanum ferrugineum Jacq.,Leptostemonum,Torva,,,
Solanum fervens A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum fiebrigii Bitter,Morelloid,Section Solanum,,,
Solanum filiforme Ruiz & Pav.,Potato,Basarthrum,,,
Solanum filirhachis Giacomin & Stehmann,Geminata,Geminata,,,
Solanum flaccidum Vell.,Dulcamaroid,South American,,,
Solanum flagellare Sendtn.,Leptostemonum,Sisymbriifolium ,,,
Solanum flahaultii Bitter,Potato,Petota,,,
Solanum flexicaule Benth.,Leptostemonum,Micracantha,,,
Solanum foetens Pittier ex S.Knapp,Geminata,Geminata,,,
Solanum forskalii Dunal,Leptostemonum,EHS-Africa,,,
Solanum fortunense Bohs,Cyphomandra,Pachyphylla,,,
Solanum fosbergianum,Leptostemonum,Torva,,,
Solanum fragile Wedd.,Morelloid,Section Solanum,,,
Solanum francisii A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum fraxinifolium Dunal,Potato,Basarthrum,,,
Solanum friburgense Giacomin & Stehmann,Brevantherum,Inornatum,,,
Solanum fructu-tecto Cav.,Leptostemonum,Androceras-Crinitum,,,
Solanum fulvidum Bitter,Leptostemonum,Erythrotrichum,,,
Solanum furcatum Dunal,Morelloid,Section Solanum,,,
Solanum furfuraceum R.Br.,Leptostemonum,EHS-Australia,,,
Solanum fusiforme L.B.Sm. & Downs,Cyphomandra,Pachyphylla,,,
